decade,adventure,conflict,family,friendship,identity,imagination,morality,nature
1760,0,0,0,1,0,0,0,0
1780,0,0,0,1,0,0,0,0
1840,0,0,0,1,0,0,0,0
1860,0,1,0,0,0,0,0,0
1880,0,0,1,1,0,0,1,0
1900,1,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,1,0
1960,0,0,0,0,0,0,0,1
1980,0,1,0,0,0,0,0,0
1990,0,0,0,0,1,0,0,0
2000,0,0,0,0,0,0,0,1
2010,0,0,0,0,0,1,0,0
